Exported SMaRT Impedance Data
Experiment start time : 10/23/2006 10:08:29 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:14,1000000,3,0,-,1595654,-79.81107,282263.1,-1570490,
2,1,2,00:00:17,681292.1,3,0,-,3152869,-79.19733,590933.9,-3096995,
3,1,3,00:00:27,464158.9,3,0,-,5475425,-79.22673,1023485,-5378918,
4,1,4,00:00:31,316227.8,3,0,-,8693268,-80.22762,1475549,-8567127,
5,1,5,00:00:34,215443.5,3,0,-,1.330341E+07,-80.38196,2222728,-1.311641E+07,
6,1,6,00:00:37,146779.9,3,0,-,2.079685E+07,-83.54524,2337959,-2.066501E+07,
7,1,7,00:00:40,100000,3,0,-,2.943293E+07,-82.06355,4063948,-2.915102E+07,
8,1,8,00:00:44,68129.2,3,0,-,4.08934E+07,-83.09685,4915047,-4.059696E+07,
9,1,9,00:00:50,46415.89,3,0,-,5.686591E+07,-85.705,4258803,-5.670621E+07,
10,1,10,00:00:53,31622.78,3,0,-,8.397146E+07,-88.86938,1656938,-8.395511E+07,
11,1,11,00:00:56,21544.35,3,0,-,1.25775E+08,-90.64645,-1419084,-1.25767E+08,
12,1,12,00:00:59,14677.99,3,0,-,1.790839E+08,-91.88794,-5899975,-1.789867E+08,
13,1,13,00:01:03,10000,3,0,-,2.666244E+08,-90.33148,-1542667,-2.6662E+08,
14,1,14,00:01:06,6812.921,3,0,-,3.918403E+08,-89.66947,2260536,-3.918338E+08,
15,1,15,00:01:09,4641.589,3,0,-,5.652192E+08,-89.32692,6639904,-5.651802E+08,
16,1,16,00:01:13,3162.278,3,0,-,8.171968E+08,-88.90202,1.565953E+07,-8.170467E+08,
17,1,17,00:01:16,2154.435,3,0,-,1.202516E+09,-89.14971,1.784542E+07,-1.202383E+09,
