Exported SMaRT Impedance Data
Experiment start time : 11/20/2006 5:27:47 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:15,1000000,3,0,-,1613430,-82.96793,197524.3,-1601293,
2,1,2,00:00:18,825404.1,3,0,-,2313714,-82.13322,316679.3,-2291939,
3,1,3,00:00:21,681292.1,3,0,-,3196761,-81.40639,477677.2,-3160871,
4,1,4,00:00:26,562341.3,3,0,-,4267086,-81.03938,664623.1,-4215009,
5,1,5,00:00:30,464158.9,3,0,-,5528969,-80.91311,873203.3,-5459580,
6,1,6,00:00:33,383118.7,3,0,-,7104507,-80.88145,1125907,-7014724,
7,1,7,00:00:36,316227.8,3,0,-,8781259,-81.3699,1317672,-8681834,
8,1,8,00:00:39,261015.7,3,0,-,1.091401E+07,-81.46218,1620320,-1.079306E+07,
9,1,9,00:00:42,215443.5,3,0,-,1.346025E+07,-81.29794,2036492,-1.330531E+07,
10,1,10,00:00:46,177828,3,0,-,1.622049E+07,-81.17762,2487772,-1.602858E+07,
11,1,11,00:00:49,146779.9,3,0,-,2.091876E+07,-83.74891,2277762,-2.079438E+07,
12,1,12,00:00:52,121152.8,3,0,-,2.443661E+07,-84.82961,2202181,-2.433718E+07,
13,1,13,00:00:56,100000,3,0,-,2.95897E+07,-81.93746,4150081,-2.929723E+07,
14,1,14,00:00:59,82540.42,3,0,-,3.4664E+07,-82.44038,4560330,-3.436271E+07,
15,1,15,00:01:02,68129.2,3,0,-,4.090627E+07,-83.26678,4796128,-4.062413E+07,
16,1,16,00:01:08,56234.13,3,0,-,4.876956E+07,-84.28502,4856487,-4.852715E+07,
17,1,17,00:01:11,46415.89,3,0,-,5.73028E+07,-86.17117,3826462,-5.71749E+07,
18,1,18,00:01:14,38311.87,3,0,-,6.954334E+07,-87.89569,2553570,-6.949645E+07,
19,1,19,00:01:18,31622.78,3,0,-,8.394464E+07,-89.14444,1253475,-8.393528E+07,
20,1,20,00:01:21,26101.57,3,0,-,1.037602E+08,-90.63757,-1154636,-1.037538E+08,
21,1,21,00:01:24,21544.35,3,0,-,1.267351E+08,-91.21863,-2695378,-1.267064E+08,
22,1,22,00:01:27,17782.79,3,0,-,1.577315E+08,-91.25763,-3461930,-1.576935E+08,
23,1,23,00:01:31,14677.99,3,0,-,1.833739E+08,-92.01471,-6446777,-1.832605E+08,
24,1,24,00:01:34,12115.28,3,0,-,2.209179E+08,-91.32825,-5120977,-2.208585E+08,
25,1,25,00:01:37,10000,3,0,-,2.65506E+08,-90.39032,-1808819,-2.654998E+08,
26,1,26,00:01:41,8254.042,3,0,-,3.242566E+08,-89.82404,995933.8,-3.242551E+08,
27,1,27,00:01:44,6812.921,3,0,-,3.914546E+08,-89.83021,1160170,-3.914529E+08,
28,1,28,00:01:47,5623.413,3,0,-,4.714561E+08,-89.40083,4930320,-4.714303E+08,
29,1,29,00:01:50,4641.589,3,0,-,5.637846E+08,-89.23163,7560629,-5.63734E+08,
30,1,30,00:01:54,3831.187,3,0,-,6.820013E+08,-89.24299,9010738,-6.819418E+08,
31,1,31,00:01:57,3162.278,3,0,-,8.148172E+08,-88.86812,1.609596E+07,-8.146582E+08,
32,1,32,00:02:00,2610.157,3,0,-,9.971185E+08,-89.28919,1.23702E+07,-9.970417E+08,
33,1,33,00:02:03,2154.435,3,0,-,1.208626E+09,-89.36311,1.343502E+07,-1.208552E+09,
34,1,34,00:02:07,1778.279,3,0,-,1.459688E+09,-89.47025,1.349649E+07,-1.459625E+09,
35,1,35,00:02:10,1467.799,3,0,-,1.681191E+09,-89.89532,3071770,-1.681189E+09,
36,1,36,00:02:14,1211.528,3,0,-,2.038971E+09,-89.90621,3338155,-2.038968E+09,
37,1,37,00:02:17,1000,3,0,-,2.47695E+09,-89.95603,1901478,-2.47695E+09,
38,1,38,00:02:21,825.4042,3,0,-,3.012186E+09,-90.0719,-3781088,-3.012183E+09,
39,1,39,00:02:24,681.2921,3,0,-,3.636534E+09,-89.92525,4745273,-3.636531E+09,
