Exported SMaRT Impedance Data
Experiment start time : 10/8/2009 11:10:49 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature (K),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:08,10000000,3,0,-,7778.24,-115.7875,-3383.809,-7003.632,
2,1,2,00:00:13,8254042,3,0,-,12808.08,-115.2796,-5469.522,-11581.51,
3,1,3,00:00:17,6812921,3,0,-,34477.52,-103.0435,-7781.245,-33587.97,
4,1,4,00:00:23,5623413,3,0,-,49013.27,-101.2428,-9555.952,-48072.7,
5,1,5,00:00:26,4641589,3,0,-,75057.09,-99.26544,-12084.88,-74077.82,
6,1,6,00:00:29,3831187,3,0,-,116238.2,-94.37891,-8875.039,-115898.9,
7,1,7,00:00:33,3162278,3,0,-,179257.5,-87.9811,6315.16,-179146.2,
8,1,8,00:00:36,2610157,3,0,-,275261.8,-81.20145,42104.35,-272022.6,
9,1,9,00:00:39,2154435,3,0,-,416979.4,-74.50725,111382.2,-401828.2,
10,1,10,00:00:42,1778280,3,0,-,622039.8,-68.31553,229840.6,-578019.8,
11,1,11,00:00:46,1467799,3,0,-,911505.3,-63.42175,407825.5,-815181.1,
12,1,12,00:00:49,1211528,3,0,-,1459060,-85.55996,112954.8,-1454681,
13,1,13,00:00:52,1000000,3,0,-,2035721,-84.94006,179547.2,-2027788,
14,1,14,00:00:55,825404.2,3,0,-,2812326,-82.369,373456.8,-2787420,
15,1,15,00:00:59,681292.1,3,0,-,3716599,-81.55814,545619.2,-3676331,
16,1,16,00:01:04,562341.3,3,0,-,4818558,-81.1302,742972.5,-4760934,
17,1,17,00:01:07,464158.9,3,0,-,6083786,-80.8608,966310.9,-6006554,
18,1,18,00:01:10,383118.7,3,0,-,7558831,-81.11911,1166941,-7468211,
19,1,19,00:01:13,316227.8,3,0,-,9228406,-81.90091,1300151,-9136361,
20,1,20,00:01:16,261015.7,3,0,-,1.126064E+07,-81.73698,1618355,-1.114374E+07,
21,1,21,00:01:20,215443.5,3,0,-,1.389733E+07,-81.71676,2002148,-1.375235E+07,
22,1,22,00:01:23,177828,3,0,-,1.664366E+07,-81.72916,2394238,-1.647055E+07,
23,1,23,00:01:26,146779.9,3,0,-,2.134303E+07,-84.68376,1977499,-2.125123E+07,
24,1,24,00:01:29,121152.8,3,0,-,2.556204E+07,-84.26594,2553943,-2.543413E+07,
25,1,25,00:01:33,100000,3,0,-,3.002927E+07,-83.81927,3233110,-2.985471E+07,
26,1,26,00:01:36,82540.42,3,0,-,3.560904E+07,-83.44147,4067205,-3.537601E+07,
