Exported SMaRT Impedance Data
Experiment start time : 10/23/2006 11:48:09 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature ('C),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:08,1000000,0.1,0,-,18.22865,49.04468,11.94834,13.76666,
2,1,2,00:00:11,681292.1,0.1,0,-,8.885111,67.02963,3.46746,8.180581,
3,1,3,00:00:16,464158.9,0.1,0,-,5.334692,71.6754,1.677228,5.064172,
4,1,4,00:00:19,316227.8,0.1,0,-,3.509522,72.00694,1.084099,3.337885,
5,1,5,00:00:22,215443.5,0.1,0,-,2.435493,69.91054,0.8365607,2.287311,
6,1,6,00:00:30,146779.9,0.1,0,-,1.769194,66.73796,0.6987202,1.625373,
7,1,7,00:00:41,100000,0.1,0,-,1.331571,63.60561,0.591947,1.192762,
8,1,8,00:00:44,68129.2,0.1,0,-,1.007123,61.71946,0.477164,0.8869109,
9,1,9,00:00:50,46415.89,0.1,0,-,0.7512373,58.0702,0.3973144,0.6375725,
10,1,10,00:00:53,31622.78,0.1,0,-,0.5313628,50.767,0.336074,0.4115831,
11,1,11,00:00:56,21544.35,0.1,0,-,0.4179008,38.9641,0.3249347,0.2627899,
12,1,12,00:01:00,14677.99,0.1,0,-,0.3826497,27.20653,0.340315,0.1749472,
13,1,13,00:01:03,10000,0.1,0,-,0.3859583,19.67557,0.3634239,0.1299498,
14,1,14,00:01:06,6812.921,0.1,0,-,0.3689015,14.66579,0.3568824,9.339862E-02,
15,1,15,00:01:09,4641.589,0.1,0,-,0.3481957,12.7014,0.3396751,7.655779E-02,
16,1,16,00:01:12,3162.278,0.1,0,-,0.3544636,9.729199,0.3493655,5.990139E-02,
17,1,17,00:01:16,2154.435,0.1,0,-,0.3359632,8.321566,0.332426,4.862348E-02,
18,1,18,00:01:19,1467.799,0.1,0,-,0.3433309,3.324573,0.3427531,1.991051E-02,
19,1,19,00:01:22,1000,0.1,0,-,0.3310831,5.876091,0.3293435,3.389544E-02,
20,1,20,00:01:26,681.2921,0.1,0,-,0.3344853,4.095522,0.3336311,2.388876E-02,
21,1,21,00:01:29,464.1589,0.1,0,-,0.3359469,4.066766,0.335101,2.382497E-02,
22,1,22,00:01:32,316.2278,0.1,0,-,0.3280751,3.856715,0.3273321,2.206684E-02,
23,1,23,00:01:37,215.4435,0.1,0,-,0.3486924,11.33113,0.3418957,6.851068E-02,
24,1,24,00:01:40,146.7799,0.1,0,-,0.3002984,11.8225,0.2939281,6.152526E-02,
25,1,25,00:01:44,100,0.1,0,-,0.3359916,20.41582,0.3148865,0.1172042,
26,1,26,00:01:47,68.1292,0.1,0,-,0.3842419,31.87457,0.3263006,0.2029033,
27,1,27,00:01:51,46.41589,0.1,0,-,0.5025956,37.58714,0.3982702,0.3065668,
28,1,28,00:01:54,31.62278,0.1,0,-,0.5106459,53.1088,0.3065395,0.4084027,
29,1,29,00:01:58,21.54435,0.1,0,-,0.7513704,65.39456,0.3128461,0.6831433,
