Exported SMaRT Impedance Data
Experiment start time : 3/6/2011 8:36:09 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature (K),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:08,10000000,3,0,-,6608.88,-83.87502,705.1544,-6571.153,
2,1,2,00:00:11,8254042,3,0,-,4483.372,-67.15841,1740.377,-4131.792,
3,1,3,00:00:15,6812921,3,0,-,5466.943,-72.53771,1640.511,-5214.997,
4,1,4,00:00:21,5623413,3,0,-,13756.98,-83.71986,1504.877,-13674.42,
5,1,5,00:00:24,4641589,3,0,-,18189.56,-85.48793,1430.963,-18133.19,
6,1,6,00:00:27,3831187,3,0,-,24255.61,-85.63073,1847.905,-24185.12,
7,1,7,00:00:31,3162278,3,0,-,31793.29,-85.98165,2227.954,-31715.13,
8,1,8,00:00:34,2610157,3,0,-,46537.85,-88.39285,1305.234,-46519.54,
9,1,9,00:00:37,2154435,3,0,-,57567.84,-89.6011,400.8026,-57566.45,
10,1,10,00:00:40,1778280,3,0,-,71188.73,-90.33914,-421.3708,-71187.48,
11,1,11,00:00:44,1467799,3,0,-,87833.15,-90.80173,-1229.029,-87824.55,
12,1,12,00:00:47,1211528,3,0,-,110830,-88.73798,2441.017,-110803.2,
13,1,13,00:00:50,1000000,3,0,-,134670,-89.01674,2311.017,-134650.2,
14,1,14,00:00:53,825404.2,3,0,-,163943,-89.08285,2624.232,-163922,
15,1,15,00:00:57,681292.1,3,0,-,199133,-89.07954,3199.012,-199107.3,
16,1,16,00:01:01,562341.3,3,0,-,241270,-89.10387,3773.478,-241240.5,
17,1,17,00:01:05,464158.9,3,0,-,292390.2,-89.18306,4168.911,-292360.4,
18,1,18,00:01:08,383118.7,3,0,-,354497.6,-89.15094,5253.165,-354458.7,
19,1,19,00:01:11,316227.8,3,0,-,429687.6,-89.10824,6687.604,-429635.6,
20,1,20,00:01:14,261015.7,3,0,-,520465.4,-89.03806,8737.816,-520392.1,
21,1,21,00:01:17,215443.5,3,0,-,630108.8,-88.98257,11188.72,-630009.4,
22,1,22,00:01:20,177828,3,0,-,762542,-88.81554,15762.9,-762379.1,
23,1,23,00:01:24,146779.9,3,0,-,927366.1,-88.38319,26165.96,-926996.9,
24,1,24,00:01:27,121152.8,3,0,-,1191583,-83.41557,136635.8,-1183723,
25,1,25,00:01:30,100000,3,0,-,1360080,-87.93427,49025.85,-1359196,
26,1,26,00:01:33,82540.42,3,0,-,1645280,-87.6032,68805.82,-1643840,
27,1,27,00:01:36,68129.21,3,0,-,1993232,-87.17092,98379.9,-1990802,
28,1,28,00:01:42,56234.13,3,0,-,2411525,-86.66751,140183.1,-2407447,
29,1,29,00:01:45,46415.89,3,0,-,2917991,-86.04649,201187.7,-2911047,
30,1,30,00:01:49,38311.87,3,0,-,3534419,-85.25293,292500.1,-3522295,
31,1,31,00:01:52,31622.78,3,0,-,4272741,-84.31107,423547,-4251696,
32,1,32,00:01:55,26101.57,3,0,-,5164686,-83.11573,619063.3,-5127450,
33,1,33,00:01:58,21544.35,3,0,-,6248550,-81.73708,898017.6,-6183683,
34,1,34,00:02:01,17782.79,3,0,-,7515819,-80.0004,1305059,-7401646,
35,1,35,00:02:05,14677.99,3,0,-,9071281,-77.96813,1890962,-8872001,
36,1,36,00:02:08,12115.28,3,0,-,1.0849E+07,-75.54687,2707783,-1.050565E+07,
37,1,37,00:02:11,10000,3,0,-,1.296311E+07,-72.70589,3853634,-1.237706E+07,
38,1,38,00:02:14,8254.041,3,0,-,1.536225E+07,-69.37662,5410951,-1.437777E+07,
39,1,39,00:02:17,6812.92,3,0,-,1.806028E+07,-65.53129,7480506,-1.643824E+07,
40,1,40,00:02:21,5623.413,3,0,-,2.103263E+07,-61.24184,1.011909E+07,-1.843843E+07,
41,1,41,00:02:24,4641.589,3,0,-,2.422162E+07,-56.46272,1.338195E+07,-2.018936E+07,
42,1,42,00:02:27,3831.187,3,0,-,2.739317E+07,-51.34694,1.710986E+07,-2.139248E+07,
43,1,43,00:02:31,3162.278,3,0,-,3.03086E+07,-46.11387,2.101076E+07,-2.184398E+07,
