Exported SMaRT Impedance Data
Experiment start time : 3/7/2011 2:21:34 PM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature (K),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:08,10000000,3,0,-,4493.348,-99.72052,-758.6697,-4428.836,
2,1,2,00:00:12,8254042,3,0,-,4444.567,-69.64951,1545.653,-4167.149,
3,1,3,00:00:15,6812921,3,0,-,10486.95,-84.7844,953.3065,-10443.53,
4,1,4,00:00:21,5623413,3,0,-,13673.11,-85.60194,1048.529,-13632.85,
5,1,5,00:00:24,4641589,3,0,-,18213.96,-87.15614,903.6794,-18191.53,
6,1,6,00:00:28,3831187,3,0,-,24272.25,-87.00639,1267.615,-24239.13,
7,1,7,00:00:31,3162278,3,0,-,31901.82,-87.04913,1642.303,-31859.52,
8,1,8,00:00:34,2610157,3,0,-,46717.5,-89.08101,749.3059,-46711.5,
9,1,9,00:00:37,2154435,3,0,-,57780.52,-89.91358,87.17272,-57780.46,
10,1,10,00:00:41,1778280,3,0,-,71350.83,-90.12817,-159.6612,-71350.65,
11,1,11,00:00:44,1467799,3,0,-,87847.25,-90.08813,-135.1432,-87847.15,
12,1,12,00:00:47,1211528,3,0,-,110655.1,-87.61843,4598.234,-110559.5,
13,1,13,00:00:50,1000000,3,0,-,134606.8,-87.26288,6428.001,-134453.3,
14,1,14,00:00:54,825404.2,3,0,-,163078.1,-86.62272,9607.067,-162794.8,
15,1,15,00:00:57,681292.1,3,0,-,197717.4,-85.96945,13897.29,-197228.3,
16,1,16,00:01:02,562341.3,3,0,-,239070.7,-85.28883,19635.61,-238262.9,
17,1,17,00:01:05,464158.9,3,0,-,288821.3,-84.4319,28024.06,-287458.5,
18,1,18,00:01:08,383118.7,3,0,-,348741.6,-83.4464,39802.87,-346462.7,
19,1,19,00:01:11,316227.8,3,0,-,421180.6,-82.23989,56870.34,-417323.4,
20,1,20,00:01:14,261015.7,3,0,-,507278.6,-80.79785,81123.23,-500750.1,
21,1,21,00:01:18,215443.5,3,0,-,610396.2,-79.11521,115264.2,-599414.4,
22,1,22,00:01:21,177828,3,0,-,733277.4,-76.99804,164976.2,-714477.8,
23,1,23,00:01:24,146779.9,3,0,-,880125.4,-74.25634,238808.2,-847107.7,
24,1,24,00:01:27,121152.8,3,0,-,1048703,-71.27279,336700,-993182.7,
25,1,25,00:01:31,100000,3,0,-,1238792,-67.90273,466009.3,-1147799,
26,1,26,00:01:34,82540.42,3,0,-,1452615,-63.93815,638193.9,-1304914,
27,1,27,00:01:37,68129.21,3,0,-,1685532,-59.49658,855559.3,-1452252,
28,1,28,00:01:43,56234.13,3,0,-,1929495,-54.63209,1116839,-1573411,
29,1,29,00:01:46,46415.89,3,0,-,2173188,-49.42632,1413497,-1650688,
30,1,30,00:01:49,38311.87,3,0,-,2400902,-44.0359,1726019,-1668888,
31,1,31,00:01:52,31622.78,3,0,-,2616646,-38.62172,2044344,-1633247,
32,1,32,00:01:56,26101.57,3,0,-,2788647,-33.55463,2323945,-1541374,
33,1,33,00:01:59,21544.35,3,0,-,2906184,-28.80571,2546569,-1400318,
34,1,34,00:02:02,17782.79,3,0,-,3002605,-24.83042,2725028,-1260895,
35,1,35,00:02:06,14677.99,3,0,-,3055975,-21.63351,2840716,-1126641,
36,1,36,00:02:09,12115.28,3,0,-,3087507,-18.99676,2919352,-1005029,
37,1,37,00:02:13,10000,3,0,-,3089379,-17.24838,2950445,-916045.4,
38,1,38,00:02:16,8254.041,3,0,-,3103872,-16.49505,2976130,-881289.9,
39,1,39,00:02:19,6812.92,3,0,-,3104366,-16.62128,2974655,-887985.8,
40,1,40,00:02:23,5623.413,3,0,-,3105568,-17.46148,2962460,-931870.4,
41,1,41,00:02:26,4641.589,3,0,-,3131039,-19.22913,2956355,-1031197,
42,1,42,00:02:29,3831.187,3,0,-,3188122,-21.60774,2964083,-1174027,
43,1,43,00:02:33,3162.278,3,0,-,3273059,-24.45198,2979493,-1354819,
44,1,44,00:02:36,2610.157,3,0,-,3414544,-27.93425,3016701,-1599571,
45,1,45,00:02:39,2154.435,3,0,-,3584080,-31.60083,3052630,-1878051,
46,1,46,00:02:43,1778.279,3,0,-,3853255,-35.28755,3145270,-2225949,
47,1,47,00:02:46,1467.799,3,0,-,4193404,-38.80543,3267830,-2627912,
48,1,48,00:02:50,1211.528,3,0,-,4626497,-42.06783,3434490,-3099798,
49,1,49,00:02:53,1000,3,0,-,5147768,-44.75594,3655494,-3624482,
50,1,50,00:02:57,825.4042,3,0,-,5763415,-47.03748,3927882,-4217664,
51,1,51,00:03:00,681.2921,3,0,-,6484122,-48.85978,4265931,-4883203,
52,1,52,00:03:04,562.3413,3,0,-,7296586,-50.39171,4651833,-5621442,
53,1,53,00:03:07,464.1589,3,0,-,8194714,-51.38206,5114521,-6402735,
54,1,54,00:03:11,383.1187,3,0,-,9183669,-52.30379,5615583,-7266705,
55,1,55,00:03:14,316.2278,3,0,-,1.027035E+07,-53.35735,6129574,-8240652,
56,1,56,00:03:19,261.0157,3,0,-,1.147331E+07,-54.47554,6666571,-9337751,
57,1,57,00:03:23,215.4435,3,0,-,1.282247E+07,-55.83403,7200999,-1.060949E+07,
58,1,58,00:03:26,177.8279,3,0,-,1.436378E+07,-57.37213,7744674,-1.209703E+07,
