Exported SMaRT Impedance Data
Experiment start time : 3/7/2011 11:07:37 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature (K),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:08,10000000,3,0,-,4536.207,-99.28561,-731.9451,-4476.765,
2,1,2,00:00:12,8254042,3,0,-,4462.68,-68.93688,1603.871,-4164.506,
3,1,3,00:00:15,6812921,3,0,-,10517.1,-84.29018,1046.352,-10464.92,
4,1,4,00:00:21,5623413,3,0,-,13738.69,-85.03524,1188.992,-13687.14,
5,1,5,00:00:24,4641589,3,0,-,18203.16,-86.56515,1090.622,-18170.46,
6,1,6,00:00:28,3831187,3,0,-,24267.35,-86.51788,1473.934,-24222.54,
7,1,7,00:00:31,3162278,3,0,-,31902.31,-86.72181,1824.312,-31850.11,
8,1,8,00:00:34,2610157,3,0,-,46629.28,-88.82429,956.7873,-46619.46,
9,1,9,00:00:38,2154435,3,0,-,57668.13,-89.66566,336.5266,-57667.15,
10,1,10,00:00:41,1778280,3,0,-,71269.91,-90.1647,-204.9112,-71269.61,
11,1,11,00:00:44,1467799,3,0,-,87835.27,-90.2186,-335.1173,-87834.63,
12,1,12,00:00:47,1211528,3,0,-,110640.5,-87.95641,3945.438,-110570.1,
13,1,13,00:00:51,1000000,3,0,-,134452.1,-87.76113,5252.502,-134349.4,
14,1,14,00:00:54,825404.2,3,0,-,163265.3,-87.26955,7777.593,-163080,
15,1,15,00:00:57,681292.1,3,0,-,197946.9,-86.80373,11036.88,-197639,
16,1,16,00:01:02,562341.3,3,0,-,239454.2,-86.27522,15555.97,-238948.4,
17,1,17,00:01:05,464158.9,3,0,-,289791,-85.63895,22036.15,-288951.9,
18,1,18,00:01:08,383118.7,3,0,-,350330.8,-84.99071,30590.08,-348992.7,
19,1,19,00:01:11,316227.8,3,0,-,423202.7,-84.10384,43473.94,-420963.8,
20,1,20,00:01:15,261015.7,3,0,-,511261.1,-82.9463,62782.78,-507391.6,
21,1,21,00:01:18,215443.5,3,0,-,616875.9,-81.62868,89809.72,-610303.3,
22,1,22,00:01:21,177828,3,0,-,743558.9,-80.05125,128462.8,-732377.8,
23,1,23,00:01:24,146779.9,3,0,-,895828.1,-77.88466,188017,-875875.4,
24,1,24,00:01:27,121152.8,3,0,-,1075013,-75.4538,270001,-1040554,
25,1,25,00:01:31,100000,3,0,-,1281581,-72.92272,376351.1,-1225076,
26,1,26,00:01:34,82540.42,3,0,-,1521301,-69.69642,527882.9,-1426778,
27,1,27,00:01:37,68129.21,3,0,-,1791951,-66.02984,727999.8,-1637408,
28,1,28,00:01:43,56234.13,3,0,-,2095088,-61.82309,989291.9,-1846807,
29,1,29,00:01:46,46415.89,3,0,-,2410958,-57.1469,1307913,-2025359,
30,1,30,00:01:49,38311.87,3,0,-,2741035,-52.06674,1685033,-2161929,
31,1,31,00:01:52,31622.78,3,0,-,3056466,-46.68778,2096655,-2223965,
32,1,32,00:01:56,26101.57,3,0,-,3355102,-41.25587,2522273,-2212431,
33,1,33,00:01:59,21544.35,3,0,-,3607806,-36.15984,2912850,-2128749,
34,1,34,00:02:02,17782.79,3,0,-,3796003,-31.24703,3245350,-1969096,
35,1,35,00:02:06,14677.99,3,0,-,3922057,-27.0886,3491821,-1785978,
36,1,36,00:02:09,12115.28,3,0,-,4040348,-23.51367,3704858,-1611968,
37,1,37,00:02:13,10000,3,0,-,4084478,-20.69181,3821007,-1443214,
38,1,38,00:02:16,8254.041,3,0,-,4111880,-18.66082,3895716,-1315658,
39,1,39,00:02:19,6812.92,3,0,-,4124939,-17.57629,3932369,-1245630,
40,1,40,00:02:23,5623.413,3,0,-,4131826,-17.36522,3943504,-1233191,
41,1,41,00:02:26,4641.589,3,0,-,4134086,-18.06825,3930225,-1282185,
42,1,42,00:02:29,3831.187,3,0,-,4162939,-19.43474,3925740,-1385147,
43,1,43,00:02:32,3162.278,3,0,-,4229495,-21.62779,3931730,-1558888,
44,1,44,00:02:36,2610.157,3,0,-,4337048,-24.78614,3937514,-1818231,
45,1,45,00:02:39,2154.435,3,0,-,4511862,-28.20653,3976076,-2132536,
46,1,46,00:02:42,1778.279,3,0,-,4722234,-32.00437,4004491,-2502708,
47,1,47,00:02:46,1467.799,3,0,-,5059833,-35.93138,4097050,-2969190,
48,1,48,00:02:49,1211.528,3,0,-,5509311,-39.79716,4232888,-3526353,
49,1,49,00:02:53,1000,3,0,-,6078813,-43.36206,4419477,-4173750,
50,1,50,00:02:56,825.4042,3,0,-,6789719,-46.60896,4664361,-4933966,
51,1,51,00:03:00,681.2921,3,0,-,7662609,-49.28757,4998037,-5808202,
52,1,52,00:03:03,562.3413,3,0,-,8703560,-51.27764,5444489,-6790398,
53,1,53,00:03:07,464.1589,3,0,-,9904883,-53.03847,5955596,-7914391,
54,1,54,00:03:10,383.1187,3,0,-,1.127488E+07,-54.11574,6608767,-9134933,
55,1,55,00:03:13,316.2278,3,0,-,1.280101E+07,-54.84059,7371505,-1.04655E+07,
56,1,56,00:03:18,261.0157,3,0,-,1.447482E+07,-55.35948,8227862,-1.190893E+07,
57,1,57,00:03:22,215.4435,3,0,-,1.629575E+07,-55.85865,9145772,-1.348727E+07,
58,1,58,00:03:25,177.8279,3,0,-,1.828705E+07,-56.46666,1.010217E+07,-1.524343E+07,
59,1,59,00:03:28,146.7799,3,0,-,2.048917E+07,-57.30152,1.106862E+07,-1.724215E+07,
60,1,60,00:03:32,121.1528,3,0,-,2.295153E+07,-58.45067,1.200899E+07,-1.955906E+07,
61,1,61,00:03:35,100,3,0,-,2.57896E+07,-59.90538,1.293167E+07,-2.231312E+07,
62,2,1,00:03:40,100,3,0,-,2.579205E+07,-59.90955,1.293128E+07,-2.231618E+07,
63,2,2,00:03:45,68.1292,3,0,-,3.307084E+07,-63.6451,1.468115E+07,-2.96335E+07,
64,2,3,00:03:49,46.41589,3,0,-,4.364448E+07,-67.97204,1.636927E+07,-4.045847E+07,
65,2,4,00:03:53,31.62278,3,0,-,5.95326E+07,-71.99616,1.840039E+07,-5.661764E+07,
66,2,5,00:03:57,21.54435,3,0,-,8.312603E+07,-75.16763,2.127961E+07,-8.035618E+07,
67,2,6,00:04:01,14.67799,3,0,-,1.177561E+08,-77.24958,2.598935E+07,-1.148523E+08,
68,2,7,00:04:06,10,3,0,-,1.678633E+08,-78.24847,3.418839E+07,-1.643449E+08,
69,2,8,00:04:16,6.812921,3,0,-,2.396691E+08,-78.28149,4.867774E+07,-2.346737E+08,
70,2,9,00:04:22,4.641589,3,0,-,3.411285E+08,-77.42486,7.427053E+07,-3.329453E+08,
71,2,10,00:04:31,3.162278,3,0,-,4.82606E+08,-75.69588,1.19237E+08,-4.676442E+08,
72,2,11,00:04:47,2.154435,3,0,-,6.757209E+08,-73.02138,1.973207E+08,-6.462687E+08,
73,2,12,00:05:01,1.467799,3,0,-,9.416471E+08,-69.40292,3.31266E+08,-8.814545E+08,
74,2,13,00:05:30,1,3,0,-,1.271477E+09,-64.76092,5.421536E+08,-1.150097E+09,
75,3,1,00:05:46,1,3,0,-,1.270983E+09,-64.64601,5.442472E+08,-1.148561E+09,
76,3,2,00:06:17,0.4641589,3,0,-,2.141638E+09,-53.18207,1.283429E+09,-1.714475E+09,
77,3,3,00:06:58,0.2154435,3,0,-,3.126808E+09,-40.30761,2.384449E+09,-2.022704E+09,
78,3,4,00:09:45,0.1,3,0,-,8.476005E+09,-36.3736,6.824602E+09,-5.026676E+09,
79,3,5,00:14:09,0.04641589,3,0,-,5.801737E+09,-29.3588,5.0566E+09,-2.844458E+09,
80,3,6,00:23:32,0.02154435,3,0,-,5.585433E+09,-35.95276,4.521415E+09,-3.279308E+09,
81,3,7,00:43:38,0.01,3,0,-,1.919466E+11,19.98311,1.803901E+11,6.55964E+10,
82,4,1,00:43:48,10000000,3,0,-,4538.663,-99.08627,-716.7535,-4481.71,
83,4,2,00:43:52,8254042,3,0,-,4453.59,-68.89624,1603.552,-4154.887,
84,4,3,00:43:55,6812921,3,0,-,10532.43,-84.0425,1093.17,-10475.54,
85,4,4,00:44:01,5623413,3,0,-,13713.46,-84.92521,1213.043,-13659.71,
86,4,5,00:44:04,4641589,3,0,-,18245.06,-86.51311,1109.673,-18211.29,
87,4,6,00:44:08,3831187,3,0,-,24294.68,-86.4243,1515.2,-24247.39,
88,4,7,00:44:11,3162278,3,0,-,31856.9,-86.50246,1943.461,-31797.57,
89,4,8,00:44:14,2610157,3,0,-,46612.61,-88.60336,1136.127,-46598.76,
90,4,9,00:44:18,2154435,3,0,-,57643.5,-89.55784,444.8544,-57641.79,
91,4,10,00:44:21,1778280,3,0,-,71126.16,-90.08612,-106.9035,-71126.08,
92,4,11,00:44:24,1467799,3,0,-,87665.62,-90.11685,-178.8201,-87665.44,
93,4,12,00:44:27,1211528,3,0,-,110563.6,-87.76048,4320.53,-110479.2,
94,4,13,00:44:31,1000000,3,0,-,134170.5,-87.40775,6068.283,-134033.2,
95,4,14,00:44:34,825404.2,3,0,-,163049,-87.1212,8188.94,-162843.2,
96,4,15,00:44:37,681292.1,3,0,-,197606.7,-86.6281,11622.66,-197264.6,
97,4,16,00:44:42,562341.3,3,0,-,239411,-86.06355,16435.64,-238846.2,
98,4,17,00:44:45,464158.9,3,0,-,289488.4,-85.36622,23386.89,-288542.2,
99,4,18,00:44:48,383118.7,3,0,-,350104.1,-84.59187,32997.25,-348545.6,
100,4,19,00:44:51,316227.8,3,0,-,422740.5,-83.62862,46912.76,-420129.4,
101,4,20,00:44:55,261015.7,3,0,-,510485.1,-82.4699,66897.7,-506082.7,
102,4,21,00:44:58,215443.5,3,0,-,615723.6,-81.10014,95257.6,-608310.4,
103,4,22,00:45:01,177828,3,0,-,741082.4,-79.35209,136932.4,-728321.8,
104,4,23,00:45:05,146779.9,3,0,-,892973.4,-77.06016,199961.9,-870296.9,
105,4,24,00:45:08,121152.8,3,0,-,1069759,-74.57941,284451.9,-1031247,
106,4,25,00:45:11,100000,3,0,-,1273612,-71.7127,399636.8,-1209288,
107,4,26,00:45:14,82540.42,3,0,-,1505876,-68.3911,554567.8,-1400041,
108,4,27,00:45:17,68129.21,3,0,-,1768811,-64.49491,761635.1,-1596435,
109,4,28,00:45:23,56234.13,3,0,-,2057095,-60.09098,1025718,-1783127,
110,4,29,00:45:26,46415.89,3,0,-,2356474,-55.23635,1343644,-1935870,
111,4,30,00:45:30,38311.87,3,0,-,2660805,-50.03101,1709229,-2039220,
112,4,31,00:45:33,31622.78,3,0,-,2944283,-44.64623,2094738,-2069028,
113,4,32,00:45:36,26101.57,3,0,-,3213533,-39.26181,2488118,-2033732,
114,4,33,00:45:39,21544.35,3,0,-,3415432,-34.09993,2828186,-1914820,
115,4,34,00:45:43,17782.79,3,0,-,3581562,-29.52319,3116519,-1764907,
116,4,35,00:45:46,14677.99,3,0,-,3712628,-25.41913,3353217,-1593596,
117,4,36,00:45:49,12115.28,3,0,-,3773154,-22.17054,3494185,-1423855,
118,4,37,00:45:53,10000,3,0,-,3798517,-19.55678,3579381,-1271518,
119,4,38,00:45:56,8254.041,3,0,-,3822159,-18.00595,3634967,-1181489,
120,4,39,00:46:00,6812.92,3,0,-,3837112,-17.20811,3665349,-1135184,
121,4,40,00:46:03,5623.413,3,0,-,3834337,-17.2925,3661024,-1139756,
122,4,41,00:46:06,4641.589,3,0,-,3846381,-18.18549,3654259,-1200433,
123,4,42,00:46:10,3831.187,3,0,-,3871199,-20.10308,3635349,-1330570,
