Exported SMaRT Impedance Data
Experiment start time : 3/7/2011 8:41:15 AM

Result Number,Sweep Number,Point Number,Time,Frequency (Hz),AC Level (V),DC Level (V),Temperature (K),Impedance Magnitude (Ohms),Impedance Phase Degrees ('),Impedance Real (Ohms),Impedance Imaginary (Ohms)
1,1,1,00:00:08,10000000,3,0,-,4543.613,-99.69275,-764.9857,-4478.752,
2,1,2,00:00:12,8254042,3,0,-,4479.609,-69.02583,1603.464,-4182.798,
3,1,3,00:00:15,6812921,3,0,-,10572.52,-84.36568,1038.003,-10521.45,
4,1,4,00:00:21,5623413,3,0,-,13782.47,-85.20859,1151.233,-13734.3,
5,1,5,00:00:25,4641589,3,0,-,18228.39,-86.81509,1012.749,-18200.23,
6,1,6,00:00:28,3831187,3,0,-,24297.93,-86.69736,1399.814,-24257.57,
7,1,7,00:00:31,3162278,3,0,-,31924.29,-86.90134,1725.694,-31877.62,
8,1,8,00:00:35,2610157,3,0,-,46751.53,-89.05848,768.2297,-46745.21,
9,1,9,00:00:38,2154435,3,0,-,57827.73,-89.97723,23.00274,-57827.73,
10,1,10,00:00:41,1778280,3,0,-,71385.58,-90.45602,-568.1834,-71383.32,
11,1,11,00:00:44,1467799,3,0,-,87952.58,-90.60001,-921.0522,-87947.76,
12,1,12,00:00:48,1211528,3,0,-,110767.8,-88.2605,3362.433,-110716.8,
13,1,13,00:00:51,1000000,3,0,-,134665.6,-87.99246,4717.504,-134582.9,
14,1,14,00:00:54,825404.2,3,0,-,163546.3,-87.66083,6675.188,-163410,
15,1,15,00:00:57,681292.1,3,0,-,198310,-87.30808,9313.814,-198091.1,
16,1,16,00:01:02,562341.3,3,0,-,239963.5,-86.91583,12910.8,-239615.9,
17,1,17,00:01:05,464158.9,3,0,-,290772.7,-86.47316,17887.27,-290222,
18,1,18,00:01:09,383118.7,3,0,-,351291.6,-85.90816,25066.65,-350396.2,
19,1,19,00:01:12,316227.8,3,0,-,425146.1,-85.17569,35755.23,-423639.9,
20,1,20,00:01:15,261015.7,3,0,-,513758.6,-84.26456,51342.75,-511186.7,
21,1,21,00:01:18,215443.5,3,0,-,619873.9,-83.3031,72288.01,-615644.5,
22,1,22,00:01:21,177828,3,0,-,748723.4,-81.99759,104233.5,-741432.5,
23,1,23,00:01:25,146779.9,3,0,-,904517,-80.26569,152935.6,-891494.1,
24,1,24,00:01:28,121152.8,3,0,-,1078918,-78.32899,218256.6,-1056612,
25,1,25,00:01:31,100000,3,0,-,1305570,-76.15455,312428.1,-1267636,
26,1,26,00:01:34,82540.42,3,0,-,1559431,-73.57888,440843.7,-1495821,
27,1,27,00:01:37,68129.21,3,0,-,1855313,-70.42085,621732.2,-1748038,
28,1,28,00:01:43,56234.13,3,0,-,2190270,-66.85692,860839.4,-2014011,
29,1,29,00:01:47,46415.89,3,0,-,2560341,-62.73023,1173099,-2275782,
30,1,30,00:01:50,38311.87,3,0,-,2955306,-58.14796,1559597,-2510277,
31,1,31,00:01:53,31622.78,3,0,-,3371749,-53.09332,2024781,-2696099,
32,1,32,00:01:56,26101.57,3,0,-,3773769,-47.77209,2536280,-2794390,
33,1,33,00:02:00,21544.35,3,0,-,4144237,-42.2751,3066419,-2787791,
34,1,34,00:02:03,17782.79,3,0,-,4475499,-37.12449,3568432,-2701182,
35,1,35,00:02:06,14677.99,3,0,-,4723124,-32.4377,3986200,-2533399,
36,1,36,00:02:10,12115.28,3,0,-,4926580,-27.97824,4350790,-2311237,
37,1,37,00:02:13,10000,3,0,-,5046221,-24.3322,4597975,-2079176,
38,1,38,00:02:17,8254.041,3,0,-,5126183,-21.39918,4772789,-1870357,
39,1,39,00:02:20,6812.92,3,0,-,5169576,-19.31718,4878539,-1710082,
